kind,old_code,new_code,source_name,target_name,source_unit,target_unit,manual_rule
Material,8221041,6037201,电缆去向名牌,电缆去向铭牌,个,个,1=使用best_candidate
Material,1240009,1086345,碎石 20以内,碎石 ≤20 (圬工用),m3,m3,L列指定电算代号
Material,4715010,7010457,铜芯塑料线 BV 500V 0.5mm2,阻燃铜芯塑料线 ZR-BV 500V 0.5mm2,m,m,1=使用best_candidate
Machine,9102611,9102621,单筒慢速卷扬机 ≤10kN,单筒慢速卷扬机 ≤10kN/50m,台班,台班,1=使用best_candidate
Material,4732651,7012300,电力电缆 WDZN-YJY23 0.6/1kV  5×6mm2,低烟无卤阻燃电力电缆 WDZ-YJY23 0.6/1kV 5×6mm2,m,m,1=使用best_candidate
Material,1240016,1086865,碎石 80以内,碎石 ≤80 (圬工用),m3,m3,L列指定电算代号
Material,3420011,1050373,青麻(白麻·片麻),青麻,kg,kg,1=使用best_candidate
Material,1240025,1086657,碎石 40以内(高性能混凝土),碎石 ≤40 (圬工用),m3,m3,L列指定电算代号
Machine,9101101,9101053,内燃空气压缩机 ≤6m3/min,内燃活塞式空气压缩机 ≤6m³/min,台班,台班,1=使用best_candidate
Material,2547322,1011795,钢制防护栅栏网片,钢制防护栅栏网片 φ4 75×150,m2,m2,1=使用best_candidate
Material,2547210,1012393,镀锌铁丝网 10×10×0.9,镀锌铁丝网 φ0.9 10×10,m2,m2,1=使用best_candidate
Machine,9102632,9102681,双筒慢速卷扬机 ≤30kN,双筒慢速卷扬机 ≤30kN/200m,台班,台班,1=使用best_candidate
Machine,9105308,9105328,单级离心清水泵 ≤60m3/h-50m,单级离心清水泵 ≤60m³/h-50m,台班,台班,1=使用best_candidate
Machine,9108634,9107631,鼓风机 ≤8m3/min,鼓风机 ≤8m³/min,台班,台班,1=使用best_candidate
Material,2300015,1220705,铸铁承插直管 DN200×5000,铸铁承插直管 DN200,m,m,1=使用best_candidate
Material,2300016,1220713,铸铁承插直管 DN250×5000,铸铁承插直管 DN250,m,m,1=使用best_candidate
Material,3320012,1020177,橡胶圈 配DN100,铸铁管接口橡胶圈 配DN100,个,个,1=使用best_candidate
Material,3320014,1020265,橡胶圈 配DN150,铸铁管接口橡胶圈 配DN150,个,个,1=使用best_candidate
Material,3320016,1020353,橡胶圈 配DN200,铸铁管接口橡胶圈 配DN200,个,个,1=使用best_candidate
Material,3320019,1020441,橡胶圈 配DN250,铸铁管接口橡胶圈 配DN250,个,个,1=使用best_candidate
Material,3320020,1020529,橡胶圈 配DN300,铸铁管接口橡胶圈 配DN300,个,个,1=使用best_candidate
Material,3320022,1020617,橡胶圈 配DN350,铸铁管接口橡胶圈 配DN350,个,个,1=使用best_candidate
Material,3320023,1020705,橡胶圈 配DN400,铸铁管接口橡胶圈 配DN400,个,个,1=使用best_candidate
Material,3320024,1020793,橡胶圈 配DN450,铸铁管接口橡胶圈 配DN450,个,个,1=使用best_candidate
Material,3320025,1020881,橡胶圈 配DN500,铸铁管接口橡胶圈 配DN500,个,个,1=使用best_candidate
Material,3320026,1020969,橡胶圈 配DN600,铸铁管接口橡胶圈 配DN600,个,个,1=使用best_candidate
Material,3320027,1021057,橡胶圈 配DN700,铸铁管接口橡胶圈 配DN700,个,个,1=使用best_candidate
Material,3320028,1021145,橡胶圈 配DN800,铸铁管接口橡胶圈 配DN800,个,个,1=使用best_candidate
Material,3320029,1021233,橡胶圈 配DN900,铸铁管接口橡胶圈 配DN900,个,个,1=使用best_candidate
Material,3320030,1021321,橡胶圈 配DN1000,铸铁管接口橡胶圈 配DN1000,个,个,1=使用best_candidate
Material,3320031,1021409,橡胶圈配DN1200,铸铁管接口橡胶圈 配DN1200,个,个,1=使用best_candidate
Machine,9105612,9105612,人工挖土法顶管设备 d≤1650,人工挖土法顶管设备 d≤1500,台班,台班,1=使用best_candidate
Material,2300101,1220769,铸铁单盘直管 DN100×3000,铸铁单盘直管 DN100,m,m,1=使用best_candidate
Machine,9100523,9100421,履带式装载机 ≤2m3,履带式装载机 ≤2m³,台班,台班,1=使用best_candidate
Material,3372154,1226337,聚乙烯给水管（PE）de50,聚乙烯给水管件 De50,m,个,1=使用best_candidate
