kind,old_code,new_code,name,source_unit,target_unit
Material,8411060,6050937,扼流变压器等阻、冗余、防腐钢轨引线 (600A)二长二短,套,组
Material,8411061,6050973,扼流变压器等阻、冗余、防腐钢轨引线 (800A)二长二短,套,组
Material,8411062,6051009,扼流变压器等阻、冗余、防腐钢轨引线 (1000A)二长二短,套,组
Material,8751085,6039505,轨底尼龙卡具,套,个
Material,8751050,6039433,补偿电容轨枕外安装热镀锌金属卡具,套,个
Material,8410016,6050361,道岔连接杆绝缘,套,个
Material,8610017,6066469,雷达防雷组件,套,组
Material,8113165,6080001,驼峰无线机车信号车载连接线缆（含插接件）,套,根
Material,8113167,6081817,驼峰无线机车信号、遥控车载应答器 连接线缆（含插接件）,套,根
Material,8113168,6033313,应答器车载设备天线安装支架,套,个
Material,8113166,6080909,驼峰无线机车遥控车载连接线缆（含插接件）,套,根
Material,8113171,6082725,驼峰无线机车遥控地面连接线缆（含插接件）,套,根
Material,8800095,1061551,铜螺栓带帽,套,个
